Data,Mestre,Pergunta,Resposta
16/08/1988,Extraterrestre Não Identificado,O que dizer dos tempos atuais? Novidades?," Muita paz aos homens dessa Terra. Que vocês, dessa superfície, tenham profunda 
compreensão das coisas, que todos os homens possam encontrar o seu caminho de 
paz, de luz e de felicidade. Nos dias de hoje, as estrelas amigas apontam um novo 
caminho, apontam um novo tempo. As estrelas amigas mostram que o tempo é de 
transformação, que o tempo é de mudanças, mudanças estruturais profundas no in
terior do homem, que provavelmente refletir-se-ão em toda a superfície do planeta.
 Se os tempos são chegados, vocês, que estão numa condição de assimilar recados 
de instrução oriundos das estrelas, estão recebendo uma dádiva, porém, ao mesmo 
tempo, arcando com uma profunda responsabilidade.
 Na vida, qual é esta responsabilidade?
 Esta responsabilidade acontece no exato momento em que vocês compreendem, 
assumem, entram em contato conosco e sabem das coisas que o mundo ao seu redor 
não sabe. Neste ponto, a responsabilidade que vocês possuem para com o seu seme
lhante, para com a natureza da própria civilização da Terra, é muito grande. Se o mo
mento é de transição e os tempos são chegados, maior é a responsabilidade daqueles 
que sabem."
16/08/1988,Extraterrestre Não Identificado,Sobre a onda SHAM,"A onda energética, a onda SHAM, está preste a mudar profundamente. A onda 
SHAM passará para um nível diferente. Olhem para dentro de vocês e verifiquem 
se isto está ou não está ocorrendo. Em caso afirmativo, pensem que isto ocorre no 
mundo todo. Não é possível, então, permanecer o mesmo. Vocês são homens, cria
turas inteligentes, seres de alto valor, de alta capacidade, de grande consciência. São 
tudo isto e com esta condição devem operar, não sendo as vítimas de um processo de 
decadência, mas sim os precursores de uma nova condição humana, os protagonistas, 
principalmente os protagonistas da ação, do processo de alternância e transformação 
da onda SHAM.
 Este grupo unido possui uma força imperativa. Se permanecer assim unido, tal 
força poderá ser de grande utilidade e valia nos momentos de forte decisão e nos 
momentos de grande atuação da onda SHAM. São jovens estruturalmente, biologicamente, porém é chegado o momento de vocês crescerem e se tornarem homens, 
adultos, responsáveis, atuantes, trabalhadores, construtores, não mais ouvintes, assis
tentes ou aprendizes.
 O início da ativação da onda SHAM começa em breve no espaço, operada pela 
força de ordem superior, oriunda de estrelas distantes. Atentem, muita coisa ocorrerá 
com a ativação da onda SHAM.
 Fiquem em paz, fiquem atentos, conscientes, meditativos, contemplativos e pes
quisadores de sua própria natureza. Em trabalho conjunto ao nosso, forças espirituais 
deste orbe orientam vocês na estruturação de suas consciências planetárias, de suas 
vidas cotidianas, porém minha missão é totalmente outra. A minha missão é de ordem 
generalizada na estrutura do orbe planetário Terra. Estamos sintonizados na onda de 
vocês. Toda a operação feita por vocês, será por nós registradas.
 Paz a todos, paz profunda a todas as fronteiras do Cosmos."
12/8/1988,Mestre Chinês Não Identificado,Como lidar com a tristeza e sofrimento?,"Que a felicidade possa estar sempre presente em seus corações. Muita paz a todos, 
muita paz!
 Cada qual enxerga o mundo de acordo com os olhos que tem. Às vezes, as pessoas 
estão envolvidas ou mergulhadas em trevas e angústias tão profundas, que não con
seguem enxergar a beleza das coisas, a beleza do sol, a beleza das flores, a beleza da 
água correndo, do vento, da sombra. Não conseguem ver a vida fluir em toda parte, 
contínuo fluxo, contínua mudança, o percorrer, assim, do dia e da noite.
 Toda vez que se sobe uma montanha e se chega ao topo, para que possamos con
tinuar caminhando, faz-se necessário descer a montanha.
 Andando para frente ou para trás, sempre se chega a algum lugar, do mesmo jeito. 
O que parece a vocês trevas, pode ser o caminho da luz. O que pode parecer dor é 
o caminho do prazer. O que pode parecer profunda tristeza, pode ser o caminho da 
alegria.
 O sábio observa profundamente ao seu redor, para perceber em que lado da mon
tanha ele se encontra, subindo ou descendo, no entanto, ele não sai da montanha, está 
na montanha subindo ou descendo."
12/8/1988,Mestre Chinês Não Identificado,"Um discípulo pede orientação ao Mestre sobre qual caminho seguir, em relação a 
uma proposta de trabalho.","Não há caminhos bons nem caminhos ruins, responde o Mestre. Só existem ca
minhos. Seu ser é que deve decidir qual caminho seguir. Você deve sentar-se calmo 
e tranquilo, elevar seus pensamentos ao Alto, meditar e, então, decidir. No entanto, é 
extremamente importante ter em sua mente o fato, como já vos disse: só existem na 
vida caminhos, só caminhos, nem bons nem ruins, só caminhos."
12/8/1988,Mestre Chinês Não Identificado,"A respeito da simbologia dos animais, outro discípulo pede ao Mestre que fale 
sobre o louva-a-deus."," Louva-a-deus. Caminhar lado a lado com o louva-a-deus é saber conquistar a 
sua força interior, responde o Mestre. É saber conquistar sua profunda tenacidade. 
 Grande coragem para enfrentar a vida sem medo, sem choro, sem fraqueza de espécie 
alguma. Caminhar lado a lado ao louva-a-deus é encontrar uma força tão poderosa 
dentro de si, que nada poderá vencê-lo, nada poderá derrotá-lo. Se acreditar no ca
minho do louva-a-deus, poderá superar toda barreira possível. Para ser, porém, como 
um louva-a-deus, o homem deve ser um louva-a-deus. E como você pode tornar-se 
um louva a-deus? Apenas aprendendo que nós somos louva-a-deus. Encontre um lou
va-a-deus e observe-o atentamente, observe-o o bastante e verá quanta coisa poderá 
aprender do louva-a-deus. Nós aprendíamos, com nossos mestres, que deveríamos ir 
à floresta, encontrar esses pequeninos insetos e observá-los por horas, dias, semanas, 
observá-los para que pudéssemos encontrar respostas profundas. Para compreender 
o caminho do louva-a-deus, deve-se decidir seguir o caminho do louva-a-deus. No 
templo de Shaolin, nós optávamos por esta decisão conjuntamente com nossos mes
tres. Aí então, éramos treinados a ser o louva-a-deus, a trazer para dentro de nós tudo 
o que era o louva-a-deus.
 Você pensa que o homem é apenas o que ele pensa, o que ele é internamente?
 O homem é o Universo. Se você olhar, achando que você é o que é, então verá 
o que quer ver. Porém se perceber que o homem é o Universo e que o Universo é o 
homem, que tudo está em movimento, tudo é dinâmico, a própria aparente inquietude 
do homem vai transformar-se em profundo dinamismo.
 Muita paz a todos, muita paz. Que suas vidas sejam repletas de muita paz, de 
muita luz. Hoje, o aparente fracasso, aparente tristeza, aparente angústia, são somente 
aparentes.
 Muita paz a todos, muita paz, muita paz!"
26/08/1988,Mestre Chinês Não Identificado,"Como identificar um bom caminho, boa escolha?","Que suas vidas sejam repletas de paz, muita luz e muito amor.
 Concentrem-se profundamente nesta questão, percebam a necessidade profunda 
que existe na vida de cada um de vocês, de compreender quem são, o que são e para 
que vivem. São questões de extrema importância que, em todos os dias de suas vidas, 
devem acompanhá-los, lado a lado, como se fossem suas próprias sombras, pois isto 
é importante para dar direção a suas vidas.
 Quando você tiver à sua frente uma decisão importante a ser tomada, olhe para 
os caminhos que se abrem e pergunte a si próprio, o que este caminho lhe trará, para 
responder a você mesmo – “quem eu sou?”. Se perceber que aquele caminho nada 
tem a ver com a sua própria natureza, então ele é um caminho vulgar. Saiba, cons
cientemente, trilhar o caminho que o conduza à sabedoria, à luz e à compreensão de 
você mesmo."
26/08/1988,Mestre Chinês Não Identificado,"As questões de quem somos nós, de onde viemos e o que estamos fazendo aqui, pelo intelecto, pode ser respondida até certo ponto, mas a 
esse nível, não seria o verdadeiro, como é que se dá isso?","A mente, o intelecto, escolhe o caminho, porém depois de escolhido o cami
nho, abandona o intelecto e deixa o seu Ser penetrar e sentir, experimentar, 
viver, absorver, penetrar seu Ser, sua própria realidade, em sua própria es
sência."
26/08/1988,Mestre Chinês Não Identificado,Por que a jornada de autoconhecimento e espiritualidade nos faz sofrer?,"Ela não faz sofrer, ela apenas lhe mostra a ignorância que jaz em seu Ser, a 
visão dessa ignorância é que traz uma angústia profunda."
26/08/1988,Mestre Chinês Não Identificado,A visão da ignorância seria mais pelo inconsciente?,Sim
26/08/1988,Mestre Chinês Não Identificado,"Eu me lembro que, conscientemente, eu buscava essas respostas e não as encontrava e, agora, eu não me preocupo mais com elas.","Caminhe mais, mais e mais por essa estrada e verá que mais feliz ficará, 
até que toda angústia desapareça. A angústia e a tristeza são frutos de uma 
solidão interior, de um vazio interior que todos vocês sentem. Este vazio é 
causado pelas trevas, pela ignorância daquilo que realmente somos. Nossa 
alma interior clama pela liberdade."
26/08/1988,Mestre Chinês Não Identificado,"Mestre, gostaria que falasse sobre a criação da música.","No Universo, nada se cria, a música não se cria, a música deixa-se fluir. A 
música acontece. Ela vem e vai, ela sempre existiu e sempre existirá. Os 
ouvidos e os olhos a ouvem e vêem, cabe a cada um de nós ouvi-la e vê-la. 
Aí em todo o Universo, quando se é um com o Universo, a música flui por 
todas as partes de nosso corpo. Nós passamos a ser a música e, quando nós 
somos a música, os outros olham para nós e vêem música, ouvem música. 
No Universo físico de vocês, a música para ser expressa necessita do uso de 
alguns instrumentos que produzem sons; quando se é música, só se transpor
ta para aquele instrumento, aquilo que já é. Quanto maior a ignorância de si 
próprio, se tem menos música, menos música se é. Quanto mais consciência 
de si próprio, se tem mais música, e ela pode sair mais e mais através de 
você. Isso é a música! Como a voz e o criador, sempre existiram e sempre 
existirão. Ouça a voz do criador, ela é uma linda e eterna melodia."
26/08/1988,Mestre Chinês Não Identificado,"Gostaria de uma orientação sobre a prática do Tai-Chi, tenho vontade de 
falar sobre o outro caráter do Tai-Chi e preocupação de chocar as pesso
as…","Faça o seguinte: diga a seus discípulos que por trás do Tai-Chi Chuan existe 
um conhecimento oculto. Um conhecimento secreto, porém não tão secreto 
e nem tão oculto e que, em determinado dia e hora, fora de suas aulas espe
cíficas, você estará falando sobre esses assuntos. Se o discípulo se interessar 
por esta área mais profunda e mais oculta, ele vai ouvir, mas deixe claro que 
pode ser algo muito novo, diferente e que poderá lhe trazer alguns conflitos 
de consciência. Se ele estiver interessado e pronto para aprender, ele irá para 
ouvir, senão ele não irá. Quando nós fazíamos isso, criávamos as maiores 
dificuldades de dia, horário e local para falarmos desse assunto. O discípulo 
que rompesse e vencesse essas dificuldades é porque estava preparado e 
pronto para aprender."
26/08/1988,Mestre Chinês Não Identificado,"Mestre, poderia nos falar sobre ritual?",O que é ritual? Por que você faz um ritual?
26/08/1988,Mestre Chinês Não Identificado,"Eu não tenho hábito de fazer ritual. É porque hoje vimos uma série de 
coisas e, às vezes, existe necessidade disso, enfim…","Cada ser humano, cada grupo, tem sua forma de expressar, de reverenciar, 
de se harmonizar com seus semelhantes ou o grande criador. Cada cultura, 
cada povo, tem uma forma específica de realizar um trabalho. Isto é perfeita
mente natural e está de acordo com o grau interior e cultural de cada ser, de 
cada grupo. O ritual só é importante para si próprio ou para aquele grupo. Se 
você não quiser fazer nenhum ritual, então, de acordo com sua cultura, não 
precisa. Se, de acordo com outra cultura, for importante para eles realizarem 
tais rituais, também não tem importância. Tudo é muito simples. Nós somos 
o que somos, com ou sem rituais."
26/08/1988,Mestre Chinês Não Identificado,De alguma forma o ritual poderia facilitar a presença de vocês?,"Nem um pouco. Não é o que vocês fazem que nos atraem, é apenas o amor 
que nos atrai. Às vezes, acender um incenso, elevar seus pensamentos ao 
alto, ao criador, aos ancestrais, à vida, é uma forma até ritualizada de colocar 
sua mente, seu ser em constante vislumbre com essas questões, são formas 
de levar o conhecimento adiante, são maneiras de se relacionar com as ou
tras pessoas. Quando eu me dirijo ao meu mestre, eu procuro me curvar, 
ser muito humilde, respeitá-lo ao máximo, esta é a minha forma de chegar 
até ele, de me curvar, de me sentar para conversar, é o meu jeito, o que me 
agrada. Aos olhos de outro, pode parecer estranho, porém o meu mestre nada 
exige, você pode chegar até ele do jeito que você quiser. O homem pode 
vestir muitas roupas, mas jamais deixará de ser simplesmente homem.
 Muita paz a todos, muita paz.
 Continuem firmes na busca, na pesquisa, continuem praticando esse gesto de 
união, esse gesto de fraternidade, vocês dão um presente muito mais profundo aos 
outros do que o pão que alimenta o corpo, pois vocês são a forma da alma que pere
grina faminta, há milênios e milênios, por este orbe chamado Terra.
 Muita paz a todos. Que suas vidas sejam repletas de muita paz, muita luz e muito!
 Amor!"
